Temp,Humidity,pressure,dateTime,Rain,wind_speed
20.19,964.95,23.78,2024-04-23 10:28:21.297746,1,0.63379
16.19,964.98,27.83,2024-04-23 10:31:51.647731,1,0.63379
13.26,964.94,35.04,2024-04-23 10:36:05.012750,1,0.00000
12.35,965.06,34.05,2024-04-23 10:43:42.313458,1,0.63379
12.04,965.06,35.27,2024-04-23 10:45:38.153463,1,0.63379
12.47,965.05,34.57,2024-04-23 10:45:58.157473,1,0.63379
12.91,964.94,33.90,2024-04-23 10:46:18.161378,1,0.63379
12.07,965.04,34.83,2024-04-23 10:46:38.165262,1,0.63379
12.15,965.01,35.18,2024-04-23 10:46:58.169154,1,0.63379
12.07,964.99,34.73,2024-04-23 10:47:18.173053,1,0.63379
11.70,965.05,36.14,2024-04-23 10:48:06.553592,1,0.63379
11.83,964.96,36.05,2024-04-23 10:48:35.196274,1,0.63379
11.73,965.00,36.45,2024-04-23 10:58:35.200280,1,0.63379
10.36,964.98,39.41,2024-04-23 11:08:35.204170,1,0.63379
10.88,964.98,37.67,2024-04-23 11:18:35.208075,1,0.63379
09.70,964.97,41.87,2024-04-23 11:28:35.211961,1,0.63379
10.29,964.99,38.67,2024-04-23 11:38:35.215829,1,0.63379
13.17,964.84,34.18,2024-04-23 11:48:35.219711,1,0.00000
11.22,964.78,36.50,2024-04-23 11:58:35.223986,1,0.63379
15.83,964.68,30.50,2024-04-23 12:08:35.228048,1,0.63379
12.11,964.76,34.20,2024-04-23 12:18:35.232447,1,0.63379
12.46,964.58,32.83,2024-04-23 12:28:35.236496,1,0.79817
15.10,964.61,29.74,2024-04-23 12:38:35.240539,1,0.63379
15.24,964.45,27.38,2024-04-23 12:48:35.244580,1,0.63379
21.02,964.25,20.77,2024-04-23 12:58:35.248653,1,0.63379
21.25,964.15,21.08,2024-04-23 13:08:35.252488,1,0.63379
21.64,963.91,21.56,2024-04-23 13:18:35.256335,1,0.63379
23.21,963.98,19.93,2024-04-23 13:28:35.260174,1,0.63379
20.30,963.94,20.40,2024-04-23 13:38:35.264213,1,0.63379
15.10,964.07,28.41,2024-04-23 13:48:35.268067,1,0.63379
20.67,963.62,20.89,2024-04-23 13:58:35.271925,1,0.63379
19.42,963.67,22.82,2024-04-23 14:08:35.275781,1,0.00000
16.94,963.72,25.01,2024-04-23 14:18:35.279638,1,0.87123
18.31,963.57,22.09,2024-04-23 14:28:35.283496,1,0.63379
18.06,963.53,24.74,2024-04-23 14:38:35.287351,1,0.63379
17.77,963.44,23.82,2024-04-23 14:48:35.291210,1,0.63379
14.75,963.33,28.12,2024-04-23 14:58:35.295053,1,0.00000
15.46,963.29,27.20,2024-04-23 15:08:35.298928,1,0.63379
15.61,963.16,26.97,2024-04-23 15:18:35.302819,1,0.63379
15.39,963.15,28.78,2024-04-23 15:28:35.307218,1,0.63379
14.85,963.00,29.25,2024-04-23 15:38:35.311068,1,0.63379
15.13,962.92,28.56,2024-04-23 15:48:35.315418,1,0.63379
14.01,962.88,29.63,2024-04-23 15:58:35.319269,1,0.63379
13.92,962.71,30.29,2024-04-23 16:08:35.323312,1,0.63379
14.63,962.74,28.87,2024-04-23 16:18:35.327168,1,0.63379
14.00,962.86,29.39,2024-04-23 16:28:35.331214,1,0.63379
14.46,962.65,28.74,2024-04-23 16:38:35.335071,1,0.63379
14.35,962.78,29.21,2024-04-23 16:48:35.338926,1,0.63379
14.37,962.70,29.79,2024-04-23 16:58:35.342788,1,0.63379
14.74,962.80,29.81,2024-04-23 17:08:35.346845,1,0.63379
14.07,962.83,30.85,2024-04-23 17:18:35.350699,1,0.63379
12.93,962.84,31.46,2024-04-23 17:28:35.354754,1,0.63379
13.00,962.83,31.02,2024-04-23 17:38:35.358631,1,0.63379
12.97,962.88,31.11,2024-04-23 17:48:35.362540,1,0.63379
12.44,962.85,32.96,2024-04-23 17:58:35.366382,1,0.63379
13.02,962.88,31.79,2024-04-23 18:08:35.370234,1,0.63379
12.66,962.76,33.07,2024-04-23 18:18:35.374091,1,0.63379
12.53,962.83,33.92,2024-04-23 18:28:35.377941,1,0.63379
12.54,962.85,34.92,2024-04-23 18:38:35.381791,1,0.63379
12.69,962.88,33.68,2024-04-23 18:48:35.385648,1,0.63379
12.19,962.90,35.50,2024-04-23 18:58:35.389496,1,0.63379
11.73,962.83,35.90,2024-04-23 19:08:35.393882,1,0.63379
12.60,962.83,35.52,2024-04-23 19:18:35.398269,1,0.63379
11.38,962.82,36.82,2024-04-23 19:28:35.402961,1,0.63379
11.78,962.78,36.81,2024-04-23 19:38:35.407277,1,0.63379
11.64,962.83,36.58,2024-04-23 19:48:35.411137,1,0.63379
12.41,962.79,36.85,2024-04-23 19:58:35.414998,1,0.63379
10.93,962.79,39.24,2024-04-23 20:08:35.418866,1,0.63379
12.35,962.77,37.86,2024-04-23 20:18:35.422733,1,0.63379
11.95,962.84,39.49,2024-04-23 20:28:35.426623,1,0.63379
11.80,962.84,41.31,2024-04-23 20:38:35.430505,1,0.63379
12.69,962.83,40.32,2024-04-23 20:48:35.434397,1,0.63379
12.54,962.84,41.96,2024-04-23 20:58:35.438240,1,0.63379
11.61,962.88,42.70,2024-04-23 21:08:35.442275,1,0.63379
11.48,962.89,45.27,2024-04-23 21:18:35.446303,1,0.63379
11.28,963.09,44.39,2024-04-23 21:28:35.450358,1,0.63379
10.98,963.08,45.59,2024-04-23 21:38:35.454208,1,0.63379
10.58,962.99,46.79,2024-04-23 21:48:35.458071,1,0.63379
09.92,963.07,48.01,2024-04-23 21:58:35.461925,1,0.63379
08.73,963.15,50.40,2024-04-23 22:08:35.465792,1,0.63379
09.24,963.12,49.34,2024-04-23 22:18:35.469650,1,0.63379
09.23,963.11,50.10,2024-04-23 22:28:35.473499,1,0.63379
08.79,963.11,50.78,2024-04-23 22:38:35.477343,1,0.63379
08.37,963.10,51.23,2024-04-23 22:48:35.481212,1,0.63379
07.02,963.13,55.13,2024-04-23 22:58:35.485060,1,0.63379
06.45,963.10,56.42,2024-04-23 23:08:35.488916,1,0.63379
06.90,963.08,55.58,2024-04-23 23:18:35.492770,1,0.63379
07.03,962.98,54.32,2024-04-23 23:28:35.496625,1,0.63379
07.50,962.96,53.06,2024-04-23 23:38:35.500458,1,0.63379
07.03,962.91,54.57,2024-04-23 23:48:35.504331,1,0.63379
05.58,962.94,57.88,2024-04-23 23:58:35.508185,1,0.63379
05.42,962.90,57.81,2024-04-24 00:08:35.512056,1,0.63379
06.52,962.88,55.04,2024-04-24 00:18:35.515899,1,0.63379
05.56,962.74,57.72,2024-04-24 00:28:35.519934,1,0.63379
05.89,962.73,57.17,2024-04-24 00:38:35.523791,1,0.63379
04.56,962.74,58.76,2024-04-24 00:48:35.527637,1,0.63379
05.38,962.60,56.28,2024-04-24 00:58:35.531924,1,0.63379
04.72,962.62,57.63,2024-04-24 01:08:35.536216,1,0.63379
04.39,962.58,58.70,2024-04-24 01:18:35.540503,1,0.63379
05.02,962.45,57.18,2024-04-24 01:28:35.544522,1,0.63379
04.99,962.35,56.71,2024-04-24 01:38:35.548525,1,0.63379
05.03,962.24,57.10,2024-04-24 01:48:35.552380,1,0.63379
04.16,962.13,58.53,2024-04-24 01:58:35.556211,1,0.63379
05.28,962.00,56.68,2024-04-24 02:08:35.560240,1,0.63379
03.80,961.94,59.55,2024-04-24 02:18:35.564103,1,0.63379
05.22,961.96,56.90,2024-04-24 02:28:35.567952,1,0.63379
05.14,961.91,56.54,2024-04-24 02:38:35.571804,1,0.63379
04.83,961.79,56.23,2024-04-24 02:48:35.575843,1,0.63379
04.33,961.74,59.44,2024-04-24 02:58:35.579859,1,0.63379
04.19,961.61,59.07,2024-04-24 03:08:35.583709,1,0.63379
04.19,961.51,59.55,2024-04-24 03:18:35.587548,1,0.63379
04.55,961.40,57.74,2024-04-24 03:28:35.591575,1,0.63379
04.50,961.31,58.73,2024-04-24 03:38:35.595418,1,0.63379
05.27,961.29,57.87,2024-04-24 03:48:35.599273,1,0.63379
04.86,961.21,58.23,2024-04-24 03:58:35.603113,1,0.63379
04.75,961.16,58.45,2024-04-24 04:08:35.607151,1,0.63379
03.80,961.21,61.00,2024-04-24 04:18:35.611189,1,0.63379
05.08,961.16,56.60,2024-04-24 04:28:35.615035,1,0.63379
04.67,961.11,58.74,2024-04-24 04:38:35.619073,1,0.63379
04.61,960.99,59.06,2024-04-24 04:48:35.622942,1,0.63379
04.47,960.88,59.57,2024-04-24 04:58:35.626826,1,0.63379
05.82,960.77,56.87,2024-04-24 05:08:35.630671,1,0.63379
04.95,960.71,59.21,2024-04-24 05:18:35.634538,1,0.63379
04.44,960.56,60.55,2024-04-24 05:28:35.638385,1,0.63379
04.46,960.51,60.50,2024-04-24 05:38:35.642221,1,0.63379
03.86,960.55,61.84,2024-04-24 05:48:35.646079,1,0.63379
04.65,960.58,60.45,2024-04-24 05:58:35.649920,1,0.63379
04.53,960.62,60.47,2024-04-24 06:08:35.653777,1,0.63379
04.49,960.53,59.20,2024-04-24 06:18:35.658120,1,0.63379
04.66,960.40,59.34,2024-04-24 06:28:35.662483,1,0.63379
04.70,960.46,59.40,2024-04-24 06:38:35.666363,1,0.63379
04.60,960.45,59.69,2024-04-24 06:48:35.670214,1,0.63379
04.67,960.34,59.50,2024-04-24 06:58:35.674065,1,0.63379
04.36,960.36,60.05,2024-04-24 07:08:35.677916,1,0.63379
04.17,960.28,61.45,2024-04-24 07:18:35.681912,1,0.63379
05.03,960.14,58.28,2024-04-24 07:28:35.685927,1,0.63379
04.68,960.09,59.39,2024-04-24 07:38:35.689927,1,0.63379
04.48,960.09,59.57,2024-04-24 07:48:35.694231,1,0.63379
04.98,959.97,60.18,2024-04-24 07:58:35.698597,1,0.63379
05.07,959.82,60.25,2024-04-24 08:08:35.702969,1,0.63379
05.30,959.65,59.76,2024-04-24 08:18:35.707297,1,0.63379
06.62,959.58,55.86,2024-04-24 08:28:35.711629,1,0.63379
06.46,959.60,56.60,2024-04-24 08:38:35.715439,1,0.63379
07.41,959.49,52.84,2024-04-24 08:48:35.719769,1,0.63379
06.19,959.42,54.02,2024-04-24 08:58:35.724097,1,0.67032
06.61,959.44,56.01,2024-04-24 09:08:35.728104,1,0.63379
06.96,959.36,53.65,2024-04-24 09:18:35.732459,1,0.63379
06.76,959.29,52.65,2024-04-24 09:28:35.736524,1,0.63379
07.46,959.14,50.44,2024-04-24 09:38:35.740534,1,0.63379
08.28,959.08,47.24,2024-04-24 09:48:35.744568,1,0.63379
08.73,959.11,46.69,2024-04-24 09:58:35.748419,1,0.63379
07.20,959.22,49.42,2024-04-24 10:08:35.752433,1,0.63379
07.69,959.20,48.29,2024-04-24 10:18:35.756287,1,0.63379
07.25,959.08,50.68,2024-04-24 10:28:35.760141,1,0.63379
07.28,959.22,50.91,2024-04-24 10:38:35.763994,1,0.63379
07.78,959.14,50.10,2024-04-24 10:48:35.767835,1,0.63379
08.57,959.07,47.65,2024-04-24 10:58:35.771686,1,0.63379
08.40,959.06,49.18,2024-04-24 11:08:35.775537,1,0.63379
08.11,959.09,51.92,2024-04-24 11:18:35.779395,1,0.63379
08.08,959.11,57.53,2024-04-24 11:28:35.783243,1,0.63379
07.94,959.03,60.45,2024-04-24 11:38:35.787095,1,0.63379
08.57,959.09,55.36,2024-04-24 11:48:35.790943,1,0.63379
07.69,959.13,59.03,2024-04-24 11:58:35.794838,1,0.63379
07.71,959.18,58.82,2024-04-24 12:08:35.798679,1,0.63379
07.20,959.22,58.22,2024-04-24 12:18:35.802550,1,0.63379
07.28,959.10,59.56,2024-04-24 12:28:35.806385,1,0.63379
07.50,958.99,57.48,2024-04-24 12:38:35.810298,1,0.63379
07.21,958.99,57.66,2024-04-24 12:48:35.814149,1,0.63379
07.36,958.72,57.24,2024-04-24 12:58:35.817999,1,0.63379
08.00,958.57,58.07,2024-04-24 13:08:35.821837,1,0.63379
07.62,958.59,55.38,2024-04-24 13:18:35.825688,1,2.64292
08.33,958.42,53.27,2024-04-24 13:28:35.830024,1,0.63379
08.87,958.30,53.22,2024-04-24 13:38:35.834378,1,0.63379
08.67,958.20,50.76,2024-04-24 13:48:35.838716,1,0.63379
08.60,958.20,51.72,2024-04-24 13:58:35.843058,1,0.63379
09.50,958.22,49.36,2024-04-24 14:08:35.847384,1,0.63379
08.28,958.13,51.89,2024-04-24 14:18:35.851686,1,0.63379
08.94,958.00,53.27,2024-04-24 14:28:35.856023,1,0.00000
10.08,957.98,52.35,2024-04-24 14:38:35.860361,1,0.63379
09.25,957.90,53.86,2024-04-24 14:48:35.864696,1,0.63379
08.86,957.98,54.53,2024-04-24 14:58:35.868548,1,0.63379
09.22,957.79,54.66,2024-04-24 15:08:35.872402,1,0.63379
